customer_id,signup_date,home_city,segment,age,household_size,income_band,acquisition_channel,propensity_score
C000001,2022-06-30,Dhaka,End-User,39.0,6,Mid,Organic,0.588
C000002,2024-01-25,Mymensingh,Investor,28.0,4,,Paid Search,0.524
C000003,2024-06-10,Chattogram,Renter-to-Owner,24.0,4,Low,Paid Search,0.451
C000004,2022-07-06,Dhaka,Investor,42.0,6,Upper-Mid,Marketplace,0.853
C000005,2024-03-11,Mymensingh,End-User,33.0,3,Lower-Mid,Facebook,0.503
C000006,2023-01-17,Barishal,End-User,23.0,3,Mid,Organic,0.528
C000007,2024-04-19,Chattogram,Renter-to-Owner,51.0,3,Mid,Paid Search,0.51
C000008,2023-05-25,Rangpur,Investor,20.0,3,Lower-Mid,Email,0.741
C000009,2024-05-05,Khulna,End-User,33.0,1,,Email,0.518
C000010,2022-06-07,Chattogram,Business Buyer,18.0,4,Low,Marketplace,0.411
C000011,2023-02-19,Rangpur,End-User,36.0,4,Mid,Organic,0.452
C000012,2022-10-19,Barishal,End-User,28.0,3,Low,Referral,0.563
C000013,2022-09-22,Dhaka,Renter-to-Owner,41.0,4,Lower-Mid,Facebook,0.522
C000014,2022-11-25,Rajshahi,Business Buyer,34.0,4,Lower-Mid,Broker Network,0.664
C000015,2023-02-12,Chattogram,End-User,46.0,2,Upper-Mid,Email,0.675
C000016,2022-05-16,Dhaka,Business Buyer,30.0,4,Mid,Paid Search,0.687
C000017,2024-01-24,Mymensingh,Investor,20.0,4,Upper-Mid,Facebook,0.798
C000018,2023-08-10,Khulna,Business Buyer,36.0,2,Mid,Paid Search,0.664
C000019,2024-06-03,Rajshahi,Investor,32.0,6,Upper-Mid,Facebook,0.722
C000020,2024-01-22,Rajshahi,End-User,18.0,2,Mid,Paid Search,0.399
C000021,2022-06-08,Khulna,Investor,25.0,2,Lower-Mid,Paid Search,0.83
C000022,2022-03-16,Dhaka,Renter-to-Owner,27.0,4,Mid,Paid Search,0.613
C000023,2023-03-27,Mymensingh,Business Buyer,48.0,4,Lower-Mid,Paid Search,0.545
C000024,2023-05-28,Rajshahi,End-User,40.0,5,Upper-Mid,Facebook,0.536
C000025,2022-09-14,Sylhet,End-User,31.0,4,Upper-Mid,Referral,0.784
C000026,2024-04-13,Chattogram,End-User,38.0,3,,Marketplace,0.372
C000027,2023-09-12,Dhaka,Investor,18.0,4,Upper-Mid,Paid Search,0.751
C000028,2024-03-08,Dhaka,Renter-to-Owner,29.0,3,Low,Referral,0.496
C000029,2022-04-27,Chattogram,Investor,38.0,4,,Marketplace,0.755
C000030,2024-05-18,Dhaka,Business Buyer,35.0,4,Upper-Mid,Facebook,0.699
C000031,2022-08-08,Rajshahi,Business Buyer,29.0,3,Lower-Mid,Broker Network,0.685
C000032,2023-04-23,Rangpur,Investor,34.0,3,Low,Marketplace,0.73
C000033,2023-04-14,Chattogram,End-User,37.0,1,Mid,Broker Network,0.546
C000034,2024-05-24,Chattogram,Business Buyer,34.0,5,Lower-Mid,Organic,0.617
C000035,2022-10-23,Sylhet,Renter-to-Owner,42.0,4,Mid,Organic,0.604
C000036,2022-09-14,Dhaka,Renter-to-Owner,37.0,1,Mid,Paid Search,0.598
C000037,2022-12-29,Mymensingh,Investor,39.0,5,Lower-Mid,Referral,0.573
C000038,2023-01-20,Chattogram,Investor,49.0,4,Low,Referral,0.738
C000039,2022-07-13,Dhaka,Renter-to-Owner,41.0,2,High,Organic,0.723
C000040,2022-07-07,Dhaka,End-User,50.0,2,Mid,Facebook,0.455
C000041,2022-09-04,Mymensingh,End-User,28.0,3,Mid,Facebook,0.527
C000042,2023-05-14,Dhaka,Renter-to-Owner,20.0,2,Lower-Mid,Referral,0.71
C000043,2023-01-02,Rajshahi,End-User,33.0,3,High,Paid Search,0.632
C000044,2023-02-22,Dhaka,Investor,32.0,6,Lower-Mid,Paid Search,0.635
C000045,2024-02-06,Dhaka,End-User,47.0,4,Low,Facebook,0.373
C000046,2022-09-14,Rangpur,Renter-to-Owner,24.0,6,Lower-Mid,Organic,0.526
C000047,2024-08-27,Dhaka,End-User,33.0,4,Mid,Referral,0.61
C000048,2024-03-12,Dhaka,Investor,38.0,4,Lower-Mid,Facebook,0.503
C000049,2022-07-06,Khulna,Business Buyer,35.0,3,Lower-Mid,Facebook,0.518
C000050,2022-12-01,Rangpur,End-User,32.0,3,Mid,Broker Network,0.678
C000051,2022-07-15,Chattogram,End-User,37.0,4,Mid,Organic,0.665
C000052,2022-10-18,Dhaka,Renter-to-Owner,44.0,5,Low,Organic,0.464
C000053,2023-01-25,Mymensingh,End-User,48.0,4,Mid,Marketplace,0.449
C000054,2022-05-20,Sylhet,Business Buyer,34.0,4,Lower-Mid,Broker Network,0.603
C000055,2022-01-16,Rangpur,Renter-to-Owner,27.0,4,Lower-Mid,Paid Search,0.403
C000056,2023-04-13,Barishal,End-User,48.0,3,Low,Broker Network,0.394
C000057,2024-01-18,Sylhet,End-User,24.0,3,High,Facebook,0.647
C000058,2022-11-19,Chattogram,End-User,50.0,3,Mid,Referral,0.584
C000059,2024-07-06,Chattogram,End-User,46.0,5,Low,Broker Network,0.399
C000060,2023-01-29,Sylhet,End-User,47.0,3,Lower-Mid,Organic,0.553
C000061,2024-08-18,Sylhet,End-User,40.0,4,Low,Referral,0.367
C000062,2022-09-09,Mymensingh,Business Buyer,18.0,3,Mid,Paid Search,0.747
C000063,2023-07-29,Khulna,End-User,25.0,5,Mid,Facebook,0.61
C000064,2024-03-24,Dhaka,Renter-to-Owner,37.0,1,Low,Paid Search,0.616
C000065,2022-03-04,Khulna,End-User,28.0,4,Upper-Mid,Marketplace,0.634
C000066,2024-09-18,Rajshahi,End-User,31.0,2,Lower-Mid,Facebook,0.548
C000067,2023-01-25,Chattogram,Investor,40.0,4,Lower-Mid,Email,0.748
C000068,2023-06-15,Barishal,End-User,32.0,4,Low,Paid Search,0.385
C000069,2023-11-01,Rajshahi,End-User,23.0,2,Low,Paid Search,0.273
C000070,2023-11-17,Dhaka,Investor,42.0,4,Upper-Mid,Broker Network,0.932
C000071,2022-01-26,Khulna,Renter-to-Owner,39.0,4,Mid,Paid Search,0.629
C000072,2024-07-13,Rajshahi,End-User,32.0,3,Upper-Mid,Marketplace,0.753
C000073,2023-10-27,Mymensingh,End-User,40.0,4,Lower-Mid,Referral,0.589
C000074,2024-11-30,Chattogram,Renter-to-Owner,35.0,4,Lower-Mid,Email,0.624
C000075,2023-05-18,Khulna,End-User,46.0,5,Lower-Mid,Organic,0.464
C000076,2023-10-17,Chattogram,End-User,35.0,3,Lower-Mid,Facebook,0.45
C000077,2023-04-16,Khulna,End-User,46.0,5,Low,Paid Search,0.216
C000078,2024-08-06,Dhaka,Investor,18.0,4,Low,Marketplace,0.604
C000079,2024-06-06,Rangpur,End-User,38.0,5,High,Organic,0.857
C000080,2024-08-26,Mymensingh,End-User,30.0,3,Mid,Broker Network,0.691
C000081,2023-06-22,Khulna,End-User,26.0,3,Low,Referral,0.422
C000082,2024-04-23,Khulna,End-User,44.0,2,Mid,Email,0.415
C000083,2023-01-18,Dhaka,Investor,42.0,4,Lower-Mid,Marketplace,0.597
C000084,2023-05-07,Rajshahi,Business Buyer,18.0,3,Upper-Mid,Broker Network,0.784
C000085,2024-03-21,Chattogram,End-User,40.0,6,High,Paid Search,0.733
C000086,2022-03-28,Sylhet,End-User,39.0,3,Low,Email,0.228
C000087,2024-01-28,Dhaka,Business Buyer,27.0,3,High,Facebook,0.802
C000088,2022-01-17,Sylhet,End-User,26.0,4,Low,Referral,0.367
C000089,2023-09-11,Dhaka,End-User,20.0,5,Lower-Mid,Paid Search,0.566
C000090,2023-05-24,Rajshahi,End-User,31.0,5,Mid,Broker Network,0.393
C000091,2023-05-15,Rajshahi,Renter-to-Owner,32.0,5,Mid,Facebook,0.671
C000092,2023-06-11,Dhaka,Investor,41.0,4,Low,Broker Network,0.597
C000093,2023-06-09,Chattogram,Investor,36.0,4,Low,Facebook,0.386
C000094,2023-03-11,Rangpur,Business Buyer,24.0,6,Lower-Mid,Referral,0.794
C000095,2023-04-27,Rajshahi,Investor,36.0,6,Lower-Mid,Organic,0.818
