listing_id,property_id,agent_id,listing_date,listing_channel,listed_price,sold_flag,days_on_market,close_date
L0000001,P001435,A00259,2022-03-18,Open,13760987,True,19,2022-04-06
L0000002,P000116,A00138,2022-11-13,Open,13163048,True,49,2023-01-01
L0000003,P004113,A00039,2024-08-06,Exclusive,6046818,True,56,2024-10-01
L0000004,P003060,A00024,2024-05-10,Exclusive,14552395,False,128,
L0000005,P002252,A00101,2022-05-02,Exclusive,19773287,False,40,
L0000006,P003325,A00031,2023-02-16,Exclusive,7390938,False,114,
L0000007,P001498,A00275,2024-03-12,Exclusive,9922745,False,115,
L0000008,P003785,A00110,2023-05-17,Exclusive,14861205,True,26,
L0000009,P002623,A00139,2023-09-27,Exclusive,12791231,True,39,2023-11-05
L0000010,P003840,A00176,2024-03-30,Exclusive,14853093,True,29,2024-04-28
L0000011,P003674,A00032,2023-11-01,Open,8930635,True,51,2023-12-22
L0000012,P002411,A00261,2024-10-21,Open,14844659,False,141,
L0000013,P000897,A00213,2023-10-11,Open,61866627,False,127,
L0000014,P003433,A00294,2023-05-04,Open,11126405,False,138,
L0000015,P000539,A00059,2024-02-11,Exclusive,9466025,False,114,
L0000016,P001066,A00170,2023-09-23,Exclusive,18280248,False,64,
L0000017,P002078,A00052,2023-05-06,Exclusive,12385667,False,48,
L0000018,P000034,A00228,2023-01-18,Exclusive,22667886,True,26,2023-02-13
L0000019,P001494,A00069,2024-12-16,Open,6728616,False,91,
L0000020,P000606,A00125,2022-07-16,Partner,10755070,True,47,2022-09-01
L0000021,P000121,A00227,2024-03-25,Exclusive,14047100,True,34,2024-04-28
L0000022,P004118,A00138,2022-04-17,Exclusive,7558292,False,93,
L0000023,P000367,A00084,2022-04-18,Open,8643494,True,57,
L0000024,P003805,A00262,2024-04-12,Exclusive,24746189,False,183,
L0000025,P001232,A00003,2024-01-18,Partner,5800074,False,199,
L0000026,P000407,A00189,2024-07-08,Exclusive,11466564,True,14,2024-07-22
L0000027,P003606,A00126,2023-02-26,Open,26590142,False,72,
L0000028,P002136,A00291,2024-06-25,Open,15891956,True,27,2024-07-22
L0000029,P000544,A00170,2022-03-20,Open,5981000,True,39,2022-04-28
L0000030,P003799,A00150,2024-06-05,Exclusive,11941983,False,146,
L0000031,P002695,A00095,2024-09-19,Partner,18464879,False,111,
L0000032,P000171,A00111,2022-11-13,Exclusive,22173689,False,64,
L0000033,P003727,A00208,2022-04-25,Open,25303819,True,27,2022-05-22
L0000034,P003785,A00052,2024-10-07,Open,15251338,True,58,2024-12-04
L0000035,P001854,A00279,2022-05-21,Exclusive,31750922,True,38,2022-06-28
L0000036,P003376,A00011,2023-08-21,Open,29706715,False,87,
L0000037,P002769,A00089,2024-07-01,Exclusive,6311016,True,44,2024-08-14
L0000038,P001976,A00066,2023-11-27,Open,9548135,False,29,
L0000039,P002738,A00201,2023-08-26,Open,7476145,False,84,
L0000040,P003099,A00033,2024-02-19,Exclusive,16005774,False,28,
L0000041,P002167,A00185,2023-06-03,Exclusive,11758825,False,59,
L0000042,P003439,A00026,2022-02-04,Partner,17646964,True,66,2022-04-11
L0000043,P003212,A00120,2022-01-31,Open,14406838,False,118,
L0000044,P002919,A00106,2022-10-17,Exclusive,6764097,False,144,
L0000045,P001140,A00101,2024-09-03,Open,9330625,True,92,2024-12-04
L0000046,P000837,A00233,2022-10-21,Open,11556022,True,95,2023-01-24
L0000047,P000553,A00152,2022-10-08,Open,9980070,False,63,
L0000048,P002356,A00139,2023-09-30,Open,12533716,True,16,2023-10-16
L0000049,P004102,A00202,2024-04-08,Open,17562678,True,21,2024-04-29
L0000050,P000307,A00108,2023-09-19,Open,9089961,True,58,2023-11-16
L0000051,P002705,A00138,2024-01-09,Partner,11325521,True,43,2024-02-21
L0000052,P002911,A00040,2024-04-22,Exclusive,8448491,False,53,
L0000053,P001003,A00013,2024-02-19,Open,8185951,True,48,2024-04-07
L0000054,P003229,A00136,2023-11-23,Exclusive,12517772,True,46,2024-01-08
L0000055,P001502,A00122,2024-02-11,Open,10725617,False,125,
L0000056,P001520,A00184,2024-01-11,Exclusive,32000511,False,30,
L0000057,P001041,A00050,2024-03-31,Open,8251948,True,23,
L0000058,P001203,A00011,2022-01-06,Open,6694174,True,66,2022-03-13
L0000059,P000248,A00093,2024-05-20,Exclusive,34898399,False,103,
L0000060,P002635,A00140,2022-12-23,Exclusive,37986488,False,10,
L0000061,P000310,A00035,2024-01-05,Exclusive,27538772,True,43,2024-02-17
L0000062,P003679,A00191,2022-04-12,Open,7327143,False,155,
L0000063,P002616,A00157,2023-11-05,Exclusive,33247318,True,75,2024-01-19
L0000064,P002615,A00198,2024-11-09,Partner,24067583,False,171,
L0000065,P000861,A00289,2022-01-16,Open,17445965,False,100,
L0000066,P000764,A00296,2022-06-10,Open,18456945,True,20,2022-06-30
L0000067,P001178,A00196,2024-05-24,Partner,7409559,True,47,2024-07-10
L0000068,P001699,A00059,2022-04-05,Open,8910629,True,60,2022-06-04
L0000069,P001452,A00172,2022-10-20,Exclusive,13937771,False,139,
L0000070,P000630,A00126,2024-07-17,Partner,8371567,True,32,2024-08-18
L0000071,P003274,A00106,2024-08-21,Exclusive,10186027,False,21,
L0000072,P000247,A00040,2022-03-27,Exclusive,13196387,False,102,
L0000073,P004243,A00206,2023-12-18,Exclusive,15769709,True,29,2024-01-16
L0000074,P000522,A00006,2024-09-20,Open,10362940,False,34,
L0000075,P000484,A00014,2023-05-31,Open,6410836,True,16,2023-06-16
L0000076,P004044,A00125,2024-07-04,Exclusive,14910023,True,24,2024-07-28
L0000077,P001581,A00052,2022-02-25,Open,11098525,True,41,2022-04-07
