property_id,city,neighborhood_code,property_type,size_sqm,bedrooms,bathrooms,year_built,location_score,amenities_count,list_price,has_parking,near_transit,near_school
P000001,Barishal,N202,Land,246.8,0,0,1999,0.655,4.0,7547314,True,False,True
P000002,Rajshahi,N105,Apartment,112.0,3,1,2019,0.371,1.0,6249429,True,True,False
P000003,Barishal,N049,House,171.6,2,1,2017,0.421,7.0,12209052,False,False,True
P000004,Barishal,N083,House,304.7,5,2,2015,0.582,6.0,22774333,True,False,True
P000005,Barishal,N093,Apartment,132.9,2,2,2023,0.629,7.0,6547785,True,False,False
P000006,Rajshahi,N004,Apartment,69.0,2,3,2017,0.521,7.0,8230083,True,False,False
P000007,Rangpur,N215,Apartment,127.9,2,3,1991,0.676,7.0,8025193,False,False,False
P000008,Chattogram,N095,Apartment,95.4,2,2,2020,0.713,9.0,9861727,True,False,False
P000009,Dhaka,N117,Land,196.5,0,0,2014,0.783,4.0,13910971,True,True,True
P000010,Barishal,N209,House,180.4,3,1,2015,0.761,7.0,13404666,True,True,True
P000011,Dhaka,N106,Apartment,62.4,3,1,2016,0.545,3.0,8760113,True,True,False
P000012,Dhaka,N203,House,78.5,4,1,2015,0.74,12.0,25652781,True,True,False
P000013,Khulna,N107,House,175.1,2,4,2005,0.653,9.0,15876126,True,True,True
P000014,Khulna,N091,Apartment,70.1,3,3,2009,0.732,6.0,7481195,True,False,True
P000015,Dhaka,N185,Apartment,70.5,2,2,2021,0.719,7.0,11139132,True,True,False
P000016,Rajshahi,N014,House,162.1,4,4,2014,0.484,9.0,13281313,False,True,True
P000017,Dhaka,N114,Apartment,105.8,1,1,2015,0.71,10.0,14057890,True,False,False
P000018,Dhaka,N046,Apartment,58.0,2,2,2019,0.716,6.0,8695672,False,True,True
P000019,Mymensingh,N193,Apartment,127.5,3,2,2012,0.631,6.0,11742924,False,True,False
P000020,Dhaka,N086,House,71.0,3,3,2023,0.95,5.0,19625459,False,True,True
