transaction_id,listing_id,property_id,agent_id,customer_id,city,deal_date,deal_price,commission_amount,payment_mode,deal_status
T00000001,L0004979,P004474,A00179,C000275,Dhaka,2024-10-20,20951990.0,530085,Cash,Completed
T00000002,L0001009,P002023,A00059,C004923,Dhaka,2023-09-07,10704517.0,294374,Mortgage,Completed
T00000003,L0008313,P004075,A00285,C005386,Chattogram,2024-05-30,11306054.0,315439,Mortgage,Completed
T00000004,L0006698,P004469,A00070,C005323,Chattogram,2023-03-10,7998580.0,205564,Mortgage,Completed
T00000005,L0002447,P000751,A00291,C001569,Rangpur,2023-07-23,5351976.0,131659,Mortgage,Completed
T00000006,L0003713,P003951,A00229,C000065,Dhaka,2023-01-18,17982994.0,420802,Cash,Completed
T00000007,L0003999,P004295,A00243,C004910,Mymensingh,2022-09-07,12713986.0,338192,Mortgage,Completed
T00000008,L0003616,P000036,A00132,C000032,Rangpur,2023-10-25,5633870.0,117748,Cash,Completed
T00000009,L0005104,P003719,A00296,C003450,Dhaka,2023-07-05,18895892.0,383587,Mortgage,Completed
T00000010,L0007815,P003619,A00277,C004205,Rajshahi,2023-10-06,17481721.0,388094,Cash,Completed
T00000011,L0007937,P000335,A00094,C001418,Dhaka,2022-03-22,12510178.0,344030,Mortgage,Completed
T00000012,L0005100,P002242,A00123,C003705,Sylhet,2024-09-14,26475405.0,659238,Cash,Completed
T00000013,L0001034,P000557,A00141,C000140,Khulna,2022-11-30,23426883.0,477908,Mortgage,Completed
T00000014,L0006508,P001893,A00098,C006989,Chattogram,2023-12-08,8265692.0,190937,Cash,Completed
T00000015,L0003252,P003783,A00076,C007467,Chattogram,2022-12-21,11415501.0,269406,Mortgage,Completed
T00000016,L0004411,P000793,A00253,C005183,Mymensingh,2024-05-30,9142302.0,298039,Installment,Completed
T00000017,L0000213,P004134,A00292,C006179,Mymensingh,2024-10-11,13738290.0,342083,Mortgage,Completed
T00000018,L0008496,P004070,A00258,C002404,Khulna,2023-08-28,13251573.0,351167,Cash,Completed
T00000019,L0001389,P000871,A00113,C006097,Dhaka,2022-05-23,30778785.0,907974,Mortgage,Completed
T00000020,L0003008,P001306,A00048,C006282,Barishal,2024-08-29,11649577.0,278425,Installment,Completed
T00000021,L0004568,P001263,A00142,C005406,Chattogram,2023-03-08,15127769.0,310119,Mortgage,Completed
T00000022,L0006748,P001429,A00297,C005321,Chattogram,2023-02-25,26043896.0,536504,Installment,Completed
T00000023,L0003750,P004358,A00107,C001899,Dhaka,2025-01-28,15010207.0,325721,Cash,Completed
T00000024,L0002184,P002744,A00237,C006750,Dhaka,2022-12-02,16655298.0,293133,Cash,Completed
T00000025,L0003521,P001665,A00190,C002130,Barishal,2023-01-06,13022281.0,346393,Cash,Completed
T00000026,L0005368,P000677,A00239,C005517,Dhaka,2024-08-16,13734841.0,344745,Mortgage,Completed
T00000027,L0002075,P002995,A00254,C003200,Khulna,2022-12-28,6675876.0,167564,Mortgage,Completed
T00000028,L0004434,P001536,A00031,C001276,Rangpur,2022-07-04,8820561.0,198463,Mortgage,Completed
T00000029,L0004211,P000371,A00054,C004837,Rangpur,2022-06-04,5752194.0,159911,Cash,Completed
T00000030,L0000649,P002120,A00056,C000687,Mymensingh,2023-09-14,6948547.0,178578,Cash,Completed
T00000031,L0006667,P001611,A00268,C006468,Chattogram,2023-02-02,8472867.0,212669,Mortgage,Completed
T00000032,L0004578,P002990,A00204,C007774,Dhaka,2022-05-27,11884818.0,237696,Mortgage,Completed
T00000033,L0005804,P001756,A00092,C000415,Chattogram,2024-03-20,10929648.0,265590,Cash,Completed
T00000034,L0000140,P003939,A00256,C004280,Rajshahi,2022-06-20,8780911.0,216010,Mortgage,Completed
T00000035,L0000613,P004246,A00180,C002117,Khulna,2023-03-05,7004765.0,159709,Installment,Completed
T00000036,L0007449,P003359,A00024,C003721,Dhaka,2024-12-29,18129271.0,469548,Mortgage,Completed
T00000037,L0002288,P002102,A00212,C004135,Mymensingh,2023-06-11,7897281.0,199011,Mortgage,Completed
T00000038,L0001221,P000539,A00031,C007917,Dhaka,2022-08-29,10237281.0,230339,Cash,Completed
T00000039,L0001650,P002389,A00188,C006547,Sylhet,2022-12-16,7951190.0,205141,Mortgage,Completed
T00000040,L0001419,P000109,A00206,C002086,Dhaka,2023-10-08,21933023.0,583418,Mortgage,Completed
T00000041,L0003270,P000302,A00034,C004218,Rajshahi,2024-12-21,8728373.0,219082,Cash,Completed
T00000042,L0006626,P001447,A00187,C005303,Chattogram,2022-08-20,13252489.0,331312,Installment,Completed
T00000043,L0002042,P000384,A00193,C006017,Chattogram,2023-05-15,12327328.0,305718,Cash,Completed
T00000044,L0000468,P002249,A00201,C007266,Khulna,2023-04-26,7238409.0,149835,Mortgage,Completed
T00000045,L0003856,P000002,A00082,C002699,Rajshahi,2024-02-08,6408153.0,96122,Mortgage,Completed
T00000046,L0001495,P002008,A00088,C004583,Dhaka,2022-10-06,30772464.0,812393,Cash,Completed
T00000047,L0008068,P004075,A00063,C004098,Chattogram,2023-10-31,13464647.0,436255,Mortgage,Completed
T00000048,L0004345,P000441,A00067,C005604,Mymensingh,2025-02-05,6110740.0,166823,Mortgage,Completed
T00000049,L0008416,P000324,A00180,C006074,Khulna,2022-12-01,9658684.0,220218,Cash,Completed
T00000050,L0005596,P002537,A00230,C000717,Rangpur,2024-08-17,11960823.0,310981,Mortgage,Completed
T00000051,L0004432,P000946,A00089,C007802,Rajshahi,2022-02-15,12543186.0,432740,Mortgage,Completed
T00000052,L0004710,P003609,A00138,C000327,Dhaka,2024-04-06,30267122.0,932227,Installment,Completed
T00000053,L0000020,P000606,A00125,C002000,Chattogram,2022-09-01,11113847.0,232279,Cash,Completed
T00000054,L0005962,P001294,A00040,C006850,Dhaka,2024-02-16,18702198.0,570417,Mortgage,Completed
T00000055,L0002326,P001239,A00300,C006245,Dhaka,2024-02-16,40226193.0,937270,Cash,Completed
T00000056,L0004601,P002673,A00085,C003363,Barishal,2024-12-10,9249678.0,204418,Mortgage,Completed
T00000057,L0004124,P004099,A00091,C003351,Rangpur,2022-05-30,13005169.0,345937,Mortgage,Completed
T00000058,L0003510,P003528,A00271,C004178,Mymensingh,2023-05-06,8573671.0,148325,Mortgage,Completed
T00000059,L0004939,P000623,A00158,C004591,Rangpur,2024-08-31,7092572.0,203557,Mortgage,Completed
T00000060,L0000033,P003727,A00208,C002756,Dhaka,2022-05-22,25501340.0,624783,Cash,Completed
T00000061,L0000811,P002285,A00250,C001053,Dhaka,2022-09-15,20530682.0,630292,Installment,Completed
T00000062,L0003483,P003768,A00244,C004156,Rajshahi,2023-06-05,13131350.0,409698,Cash,Completed
T00000063,L0001636,P000898,A00107,C004687,Dhaka,2024-10-04,14795947.0,321072,Mortgage,Completed
T00000064,L0002995,P002303,A00043,C007182,Dhaka,2025-02-03,35071104.0,1101233,Mortgage,Completed
T00000065,L0001351,P003462,A00106,C001736,Dhaka,2022-04-25,8311535.0,132985,Installment,Completed
T00000066,L0003181,P003000,A00291,C004151,Chattogram,2024-06-26,25490327.0,627062,Cash,Completed
